0	0.75
0	0.62
0	0.71
0	0.74
0	0.74
0	0.77
0	0.74
0	0.68
0	0.67
0	0.63
3.4	2.11
3.4	2.16
3.4	2.13
3.4	2.06
3.4	2.12
3.4	2.03
3.4	2.14
3.4	2.05
3.4	2.11
3.4	2.15
17	13
17	12.9
17	12.98
17	12.96
17	13.04
17	12.98
17	12.94
17	12.99
17	13.01
17	12.92
17	13.01
27.2	21.66
27.2	21.68
27.2	21.65
27.2	21.62
27.2	21.58
27.2	21.62
27.2	21.55
27.2	21.68
27.2	21.67
27.2	21.55
27.2	21.42
36.9	30.05
36.9	29.99
36.9	29.96
36.9	30.01
36.9	30.09
36.9	29.98
36.9	30.02
36.9	30.01
36.9	29.97
36.9	30
36.9	30.08
45.5	37.41
45.5	37.4
45.5	37.47
45.5	37.49
45.5	37.55
45.5	37.33
45.5	37.44
45.5	37.39
45.5	37.43
45.5	37.52
45.5	37.41
54.1	47.6
54.1	47.47
54.1	47.54
54.1	47.46
54.1	47.54
54.1	47.57
54.1	47.4
54.1	47.41
54.1	47.5
54.1	47.42
54.1	47.36
54.1	47.46
