0,0,0
16688,140,5336
16712,40,5436
16484,28,5456
16728,-112,5524
16752,-112,5636
16820,140,5312
16752,296,5572
16768,340,5584
16760,172,5552
16752,-12,5472
16736,12,5488
16840,168,5792
16760,220,5592
16664,236,5480
16652,56,5484
16828,-44,5484
16784,56,5560
16800,96,5600
16716,68,5672
16736,24,5560
16768,64,5332
16908,-16,5672
16908,176,5508
16800,444,5468
16708,280,5664
16656,-80,5524
16860,-152,5436
16708,20,5456
16740,220,5548
16772,328,5696
16768,-56,5564
16760,-24,5532
16648,-76,5508
16700,52,5488
16872,268,5560
16672,236,5532
16676,24,5552
16824,20,5600
16760,192,5660
16788,312,5524
16692,316,5468
16864,196,5580
16864,-56,5540
16868,36,5424
16820,76,5564
16864,204,5684
16796,344,5592
16720,108,5536
16796,64,5472
16580,172,5584
16716,180,5540
16640,160,5664
16804,168,5584
16816,20,5656
16788,-28,5572
16692,104,5700
16796,204,5616
16828,84,5608
16776,108,5676
16856,-44,5864
16868,88,5388
16776,124,5576
16668,140,5484
16816,68,5548
16760,164,5348
16684,44,5396
16772,116,5484
16936,52,5612
16648,32,5380
16816,140,5460
16776,276,5508
16796,240,5616
16824,168,5616
16836,88,5552
16768,152,5732
16716,-8,5596
16700,12,5440
16828,52,5640
16768,80,5600
16784,32,5556
16796,72,5588
16688,180,5568
16668,152,5472
16740,112,5496
16820,216,5448
16812,248,5608
16868,84,5408
16792,196,5468
16772,16,5460
16712,148,5664
16728,144,5476
16732,204,5732
16756,184,5604
16908,28,5600
16608,20,5496
16724,40,5584
16776,56,5708
16824,136,5556
16840,240,5512
16796,148,5560
16784,20,5572
16720,52,5464
16748,68,5496
16780,204,5408
16732,260,5608
16864,140,5684
16792,168,5616
16772,28,5692
16744,148,5664
16856,156,5504
16836,92,5728
16820,108,5564
16916,160,5572
16776,88,5576
16832,184,5608
16756,232,5592
16728,108,5500
16636,28,5596
16772,36,5560
16788,112,5512
16760,216,5620
16908,200,5572
16840,84,5576
16788,-68,5548
16584,-28,5612
16704,112,5684
16876,284,5180
16536,260,5268
16744,32,5712
16956,148,5472
16904,360,5616
16720,208,5620
16728,16,5760
16772,36,5380
16764,52,5452
16680,-4,5596
16620,184,5608
17036,88,6060
16664,84,5304
16592,-4,5572
16752,-68,5780
16736,96,5552
16944,160,5464
16788,368,5708
16696,176,5688
16764,-44,5500
16832,-32,5520
16748,-44,5632
16760,228,5704
16816,176,5656
16832,108,5500
16776,-56,5628
16748,8,5724
16716,48,5512
16784,220,5524
16752,136,5444
16744,104,5676
16720,-44,5612
16808,76,5404
16792,160,5484
16728,216,5648
16752,204,5532
16828,116,5520
16804,-48,5508
16824,96,5592
16840,236,5536
16804,64,5516
16840,-8,5588
16844,100,5532
16696,192,5560
16804,60,5460
16776,168,5536
16744,80,5568
16768,84,5484
16760,88,5584
16844,100,5652
16824,124,5556
16792,48,5616
16668,32,5548
16764,136,5396
16768,116,5640
16840,72,5600
16708,-40,5552
16656,84,5568
16700,84,5588
16708,80,5672
16768,60,5480
16720,56,5556
16764,108,5528
16768,140,5516
16760,196,5652
16808,0,5572
16756,112,5556
16760,136,5540
16692,72,5584
16772,40,5532
16752,-20,5600
16820,164,5468
16824,32,5572
16828,136,5460
16856,92,5652
16728,200,5544
16764,48,5488
16804,140,5800
16800,88,5508
16736,60,5512
16740,92,5656
16696,144,5656
16724,144,5640
16708,128,5664
16760,228,5564
16716,220,5568
16764,108,5452
16880,24,5596
16776,164,5460
16868,244,5584
16720,108,5572
16716,84,5468
16664,40,5532
16784,120,5652
16772,228,5624
16720,152,5540
16752,-28,5568
16832,-16,5468
16704,220,5628
16820,124,5656
16808,136,5556
16644,72,5544
16832,88,5628
16784,96,5700
16744,224,5492
16788,108,5480
16712,108,5716
16872,200,5652
16844,228,5540
16596,128,5596
16876,192,5560
16784,204,5360
16760,40,5560
16668,72,5704
16736,212,5608
16812,236,5648
16696,116,5692
16756,72,5532
16776,20,5456
16864,48,5472
16780,148,5608
16872,172,5556
16744,-4,5532
16792,68,5588
16800,52,5532
16792,132,5524
16748,160,5592
16792,168,5648
16836,84,5628
16816,116,5476
16712,164,5524
16792,152,5600
16716,152,5456
16840,72,5572
16712,12,5604
16644,96,5568
16832,164,5648
16728,128,5644
16820,140,5572
16712,92,5504
16708,172,5524
16704,104,5576
16724,236,5536
16820,60,5516
16776,100,5504
16808,108,5520
16748,144,5464
16776,124,5668
16844,204,5508
16768,188,5540
16672,16,5636
16708,20,5552
16876,52,5536
16752,140,5728
16808,184,5548
16784,268,5624
16904,128,5708
16748,44,5596
16768,80,5552
16844,116,5480
16772,60,5588
16640,96,5376
16736,-56,5556
16752,68,5436
16804,184,5480
16816,200,5648
16752,192,5664
16776,72,5568
16792,-44,5444
16864,-40,5660
16752,192,5548
16752,208,5636
16752,112,5652
16720,96,5620
16764,124,5640
16768,116,5716
16888,116,5752
16820,164,5588
16648,128,5636
16660,32,5468
16728,-68,5576
16768,76,5584
16696,148,5572
16784,240,5684
16784,104,5636
16768,96,5600
16768,100,5484
16884,128,5540
16744,164,5496
16788,128,5552
16808,100,5516
16880,72,5568
16800,140,5552
16748,160,5496
16720,156,5624
16752,32,5560
16804,16,5564
16760,120,5536
16764,108,5648
16736,140,5584
16800,144,5552
16872,120,5540
16824,52,5592
16808,124,5484
16824,204,5456
16804,144,5492
16800,220,5628
16872,108,5508
16688,92,5688
16672,104,5548
16768,136,5624
16732,200,5496
16812,36,5628
16784,208,5492
16776,172,5632
16792,72,5556
16764,188,5472
16816,192,5556
16776,52,5556
16796,196,5540
16724,204,5596
16804,208,5480
16616,28,5656
16728,36,5600
16808,84,5492
16708,220,5644
16808,-24,5492
16828,216,5576
16800,52,5412
16716,88,5536
16736,64,5488
16796,136,5612
16776,144,5608
16748,172,5612
16680,68,5736
16760,144,5556
16800,100,5656
16740,120,5584
16832,100,5388
16820,72,5560
16744,96,5572
16916,100,5468
16764,96,5560
16704,76,5556
16780,156,5516
16792,136,5548
16832,192,5620
16792,164,5604
16644,132,5624
16748,68,5640
16876,112,5412
16780,112,5620
16780,184,5568
16792,216,5588
16796,156,5580
16808,68,5564
16748,-12,5508
16756,32,5576
16816,140,5532
16696,132,5628
16676,80,5588
16752,40,5568
16916,132,5608
16844,40,5568
16732,160,5616
16716,112,5484
16752,152,5468
16748,4,5520
16792,180,5544
16700,184,5552
16844,124,5696
16816,-56,5552
16752,56,5548
16836,196,5664
16760,132,5620
16848,120,5616
16692,128,5624
16736,92,5532
16848,140,5540
16736,268,5560
16780,188,5640
16788,32,5508
16704,32,5536
16728,84,5560
16684,140,5616
16772,152,5552
16856,8,5496
16820,80,5452
16760,100,5552
16696,16,5592
16804,96,5560
16636,40,5620
16824,96,5556
16796,172,5520
16804,108,5560
16804,68,5680
16832,-8,5516
16744,164,5500
16776,88,5488
16820,116,5556
16824,92,5580
16760,68,5604
16768,132,5500
16752,60,5624
16684,228,5632
16708,76,5612
16788,92,5648
16744,176,5536
16808,88,5780
16776,208,5656
16720,64,5364
16780,108,5612
16728,88,5608
16772,112,5528
16812,104,5444
16788,160,5668
16820,64,5524
16736,116,5716
16788,132,5648
16736,144,5444
16880,28,5640
16664,148,5560
16736,204,5560
16724,152,5564
16732,152,5620
16744,80,5524
16808,100,5560
16704,-12,5624
16812,96,5604
16768,116,5628
16828,108,5680
16824,132,5556
16792,96,5688
16816,56,5532
16768,136,5704
